id	next	previous	captioning	pos	angle	audio	launchAngle
1	2	-1		-18.08384,7.60704,28.56808	-0.153848,0,0.9880945		5.099999
2	3	1		-38.56517,8.648023,52.01664	0,0,0.9999863		1.199999
3	4	2		-4.69647,8.757327,62.0595	0,0,0.9999797		0.8255553
4	5	3		-10.78683,8.26702,70.11975	0,0,0.9999666		2.534955
5	6	4		2.067129,8.302639,70.23642	0,0,0.9999554		2.407403
6	7	5		11.70135,6.78504,39.75173	0.7721795,0,0.6354045		10.65
7	8	6		27.09103,6.75,63.56105	0.9991229,0,-0.04187548		39.30001
8	9	7		34.45212,6.75,65.23573	0.9997807,0,-0.02094233		48.15003
9	10	8		22.091,6.75,50.83682	0.9998322,0,-0.01832485		34.50003
10	11	9		33.3271,6.75,49.97993	0.9999965,0,0		44.55005
11	12	10		20.6092,6.822899,28.1084	0.9995065,0,0.03141147		10.05005
12	13	11		43.8003,8.157535,26.23378	0.9982098,0,-0.05981076		2.931874
13	14	12		47.85971,7.936814,29.62493	0.9999976,0,0		3.759799
14	15	13		38.00293,9.412052,26.25835	-0.04447385,0,-0.9990107		-1.406982
15	16	14		43.48416,8.491079,14.67313	-0.01045527,0,-0.9999454		1.743024
16	17	15		2.651178,8.237002,38.06668	-0.9998764,0,-0.0157249		2.643025
17	18	16		-44.29328,8.400357,28.56719	-0.9998258,0,0.01866561		2.060877
18	19	17		-51.03828,8.390059,30.73845	-0.9998301,0,0.01843631		2.097183
19	20	18		-42.76881,8.320691,43.20793	-0.9997811,0,0.0209254		2.343025
20	-1	19		5.15177,8.752213,29.48603	-0.7034063,0,0.710788		0.8430248
